tconst	nconst	category	job	characters
tt0000001	nm1588970	self	\N	["Self"]
tt0000001	nm0005690	director	\N	\N
tt0000001	nm0374658	cinematographer	director of photography	\N
tt0000002	nm0721526	director	\N	\N
tt0000002	nm1335271	composer	\N	\N
tt0000003	nm0721526	director	\N	\N
tt0000003	nm1770680	producer	producer	\N
tt0000003	nm1335271	composer	\N	\N
tt0000003	nm5442200	editor	\N	\N
tt0000004	nm0721526	director	\N	\N
tt0000004	nm1335271	composer	\N	\N
tt0000005	nm0443482	actor	\N	["Blacksmith"]
tt0000005	nm0653042	actor	\N	["Assistant"]
tt0000005	nm0005690	director	\N	\N
tt0000005	nm0249379	producer	producer	\N
tt0000006	nm0005690	director	\N	\N
tt0000007	nm0179163	actor	\N	\N
tt0000007	nm0183947	actor	\N	\N
tt0000007	nm0005690	director	\N	\N
tt0000007	nm0374658	director	\N	\N
tt0000007	nm0249379	producer	producer	\N
tt0000008	nm0653028	actor	\N	["Sneezing Man"]
tt0000008	nm0005690	director	\N	\N
tt0000008	nm0374658	cinematographer	\N	\N
tt0000009	nm0063086	actress	\N	["Miss Geraldine Holbrook (Miss Jerry)"]
tt0000009	nm0183823	actor	\N	["Mr. Hamilton"]
tt0000009	nm1309758	actor	\N	["Chauncey Depew - the Director of the New York Central Railroad"]
tt0000009	nm0085156	director	\N	\N
tt0000010	nm0525910	director	\N	\N
tt0000011	nm3692297	actor	\N	["Acrobats"]
tt0000011	nm0804434	director	\N	\N
tt0000012	nm2880396	self	\N	["Self"]
tt0000012	nm9735580	self	\N	["Self"]
tt0000012	nm0525900	self	\N	["Self"]
tt0000012	nm9735581	self	\N	["Self"]
tt0000012	nm0525908	director	\N	\N
tt0000012	nm0525910	director	\N	\N
tt0000012	nm9735579	self	\N	["Self"]
tt0000012	nm9653419	self	\N	["Self"]
tt0000013	nm0525908	self	\N	["Self"]
tt0000013	nm1715062	self	\N	["Self"]
tt0000013	nm0525910	director	\N	\N
tt0000014	nm0166380	actor	\N	["The Gardener"]
tt0000014	nm0244989	actor	\N	["The Boy"]
tt0000014	nm0525910	director	\N	\N
tt0000015	nm0721526	director	\N	\N
tt0000016	nm0525900	self	\N	["Self (on the pier)"]
tt0000016	nm9735581	self	\N	["Self (on the pier)"]
tt0000016	nm0525910	director	\N	\N
tt0000017	nm3691272	actor	\N	["The boy"]
tt0000017	nm3692829	actress	\N	["The girl"]
tt0000017	nm1587194	director	\N	\N
tt0000017	nm0804434	director	\N	\N
tt0000018	nm3692071	actor	\N	["The Boxer"]
tt0000018	nm0804434	director	\N	\N
tt0000019	nm0932055	director	\N	\N
tt0000020	nm0010291	director	\N	\N
tt0000020	nm0666972	producer	producer	\N
tt0000022	nm0525910	director	\N	\N
tt0000023	nm0525910	director	\N	\N
tt0000024	nm0256651	self	\N	["Self - Empress of Gemany"]
tt0000024	nm0435118	self	\N	["Self - Emperor of Germany"]
tt0000024	nm0010291	director	\N	\N
tt0000024	nm0666972	producer	producer	\N
tt0000025	nm0010291	director	\N	\N
